GEOID,sovi,rank
g06017,-3.1877137068890655,2801.0
g06019,2.6781651714996983,400.0
g06021,1.631665364615818,751.0
g06023,-0.10102813386068954,1634.0
g06025,6.749079251656332,60.0
g06027,1.9607504103036408,602.0
g06029,1.223672432247308,920.0
g06031,-0.15640808939866324,1673.0
g06033,2.3737408439194554,465.0
g06035,-5.129086127289611,3030.0
g06037,1.1904587424363693,939.0
g06039,2.8381611658139283,364.0
g06041,-5.618714396082033,3059.0
g06043,1.4502685556754573,825.0
g06045,2.055847040889927,568.0
g06047,2.891325016724713,349.0
g06049,3.8366068575610415,220.0
g06051,-1.3431590469493426,2270.0
g06053,1.8091621494139194,669.0
g06055,-0.8677650941345639,2054.0
g06057,-1.1954661027996667,2207.0
g06059,-2.8753045244095636,2726.0
g06061,-3.22567384841249,2807.0
g06063,1.6969325672299116,725.0
g06065,0.33547248655190653,1401.0
g06067,-0.014534376645996216,1584.0
g06069,-0.2639210923505986,1738.0
g06071,0.341764140808692,1397.0
g06073,-1.7498348609386338,2413.0
g06075,-1.3941494171449555,2284.0
g06077,0.5484217379466578,1277.0
g06079,-2.0351387344844505,2505.0
g06081,-4.431155276470131,2973.0
g06083,0.15324640143767132,1490.0
g06085,-6.158144123464419,3092.0
g06087,-2.4715349300777865,2622.0
g06089,0.7182252713468434,1180.0
g06091,3.084757889633093,316.0
g06093,2.3096507470031375,484.0
g06095,-1.7219972913217685,2402.0
g06097,-1.123279377398294,2168.0
g06099,1.1988447260208697,932.0
g06101,1.0753869916931635,996.0
g06103,1.980430028351204,595.0
